Number,Movie,Genre,Date,UserScore,MetaScore,CertRating,Director
1.,The Godfather,"Drama,                                                                                                    Thriller,                                                                                                    Crime ","March 24, 1972",9.2,100,R,Francis Ford Coppola
2.,Citizen Kane,"Drama,                                                                                                    Mystery ","September 4, 1941",8.4,100,Approved,Orson Welles
3.,Rear Window,"Mystery,                                                                                                    Thriller ","September 1, 1954",8.7,100,TV-G,Alfred Hitchcock
4.,Casablanca,"Drama,                                                                                                    Romance,                                                                                                    War ","January 23, 1943",8.8,100,TV-PG,Michael Curtiz
5.,Boyhood,Drama ,"July 11, 2014",7.4,100,R,Richard Linklater
6.,Three Colors: Red,"Drama,                                                                                                    Mystery,                                                                                                    Romance ","November 23, 1994",8.5,100,R,Krzysztof Kieslowski
7.,Vertigo,"Mystery,                                                                                                    Thriller,                                                                                                    Romance ","May 28, 1958",8.6,100,PG,Alfred Hitchcock
8.,Notorious,"Drama,                                                                                                    Thriller,                                                                                                    Romance,                                                                                                    Film-Noir ","September 6, 1946",7.9,100,Approved,Alfred Hitchcock
9.,Singin' in the Rain,"Comedy,                                                                                                    Romance,                                                                                                    Musical ","April 11, 1952",8.7,99,G,Gene Kelly
10.,City Lights,"Drama,                                                                                                    Comedy,                                                                                                    Romance ","March 7, 1931",8.7,99,Passed,Charles Chaplin
11.,Moonlight,Drama ,"October 21, 2016",7.1,99,Not Rated,Barry Jenkins
12.,Intolerance,"Drama,                                                                                                    History ","September 5, 1916",7.4,99,Not Rated,D.W. Griffith
13.,Pinocchio,"Fantasy,                                                                                                    Comedy,                                                                                                    Animation,                                                                                                    Family,                                                                                                    Musical ","February 23, 1940",8.1,99,Passed,Ben Sharpsteen
14.,Touch of Evil,"Drama,                                                                                                    Thriller,                                                                                                    Crime,                                                                                                    Film-Noir ","February 1, 1958",8.4,99,PG-13,Orson Welles
15.,Au hasard Balthazar,"Drama,                                                                                                    Crime ","September 16, 1966",7.1,98,Not Rated,Robert Bresson
16.,The Lady Vanishes,"Mystery,                                                                                                    Thriller ","November 1, 1938",8.1,98,Approved,Alfred Hitchcock
17.,The Treasure of the Sierra Madre,"Adventure,                                                                                                    Drama,                                                                                                    Western ","January 24, 1948",8.1,98,TV-PG,John Huston
18.,Pan's Labyrinth,"Drama,                                                                                                    Mystery,                                                                                                    Thriller,                                                                                                    Fantasy,                                                                                                    War ","December 29, 2006",8.6,98,R,Guillermo del Toro
19.,Some Like It Hot,"Comedy,                                                                                                    Romance ","March 29, 1959",8.3,98,Approved,Billy Wilder
